round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
21,0.9622920938710412,0.552338044908282,0.9096445080434742,0.5337598308920984,693.7,94173.026816,3,loot,uni,100.0,4,2670,40,8
22,0.9634313055365687,0.5587435281541488,0.9108388700531939,0.518938238814813,696.7,98453.618944,3,loot,uni,100.0,4,2670,40,8
23,0.9651401230348599,0.5474254823247098,0.8919070066686461,0.5134105293174843,693.7,102734.211072,3,loot,uni,100.0,4,2670,40,8
24,0.9640009113693324,0.5634073966268642,0.9018497670773857,0.5187187892952526,694.2,107014.80320000001,3,loot,uni,100.0,4,2670,40,8
25,0.9626338573706995,0.5525786435497214,0.8983376049881657,0.5025568914369101,695.0,111295.39532800001,3,loot,uni,100.0,4,2670,40,8
26,0.9604693552061974,0.5465313708162616,0.9208681740780482,0.5060941520258825,696.8,115575.987456,3,loot,uni,100.0,4,2670,40,8
27,0.960127591706539,0.5305969797638714,0.9016842638272017,0.49973570235161446,697.6,119856.579584,3,loot,uni,100.0,4,2670,40,8
28,0.958418774208248,0.525719823086896,0.898666530618578,0.49195116886747503,693.4,124137.17171200001,3,loot,uni,100.0,4,2670,40,8
29,0.961950330371383,0.5379731563755275,0.8884105709437788,0.4847762244971831,6546.9,128417.76384,3,loot,uni,100.0,4,2670,40,8
30,0.9611528822055138,0.5433598085090884,0.8942986227361059,0.5002044217451659,1052.3,132698.35596800002,3,loot,uni,100.0,4,2670,40,8
31,0.9616085668717248,0.5217256589308041,0.9014881669482181,0.5030180182152272,1090.5,136978.948096,3,loot,uni,100.0,4,2670,40,8
32,0.9630895420369104,0.5306764334278989,0.8948929235533238,0.4904428938995711,1064.5,141259.540224,3,loot,uni,100.0,4,2670,40,8
33,0.9587605377079061,0.5249528378599121,0.9001569495454415,0.4901313625614955,1069.3,145540.13235200002,3,loot,uni,100.0,4,2670,40,8
34,0.9594440647072227,0.5231580564197807,0.8926424828252768,0.4895424148420054,1056.8,149820.72448,3,loot,uni,100.0,4,2670,40,8
