round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
17,0.9821143768512189,0.6223682826924327,0.9613914705379457,0.6773647216377832,397.4,77050.65830400001,3,fedavg,3:1,100.0,4,2670,40,8
18,0.98257006151743,0.605490141021541,0.9550002148125094,0.6620798702959272,394.7,81331.250432,3,fedavg,3:1,100.0,4,2670,40,8
19,0.9829118250170882,0.6107588104815324,0.9552046429302691,0.6642069835457393,394.1,85611.84256,3,fedavg,3:1,100.0,4,2670,40,8
20,0.9827979038505354,0.6361257908987472,0.9627721990604129,0.6609093846657427,393.3,89892.43468800001,3,fedavg,3:1,100.0,4,2670,40,8
21,0.9826839826839827,0.6120355452413196,0.9579521531212504,0.6519639852278306,392.3,94173.026816,3,fedavg,3:1,100.0,4,2670,40,8
22,0.9840510366826156,0.6344758946232167,0.9639930762863079,0.6530520303957055,394.5,98453.618944,3,fedavg,3:1,100.0,4,2670,40,8
23,0.9820004556846662,0.6097318559370749,0.9428617670648048,0.6352927237490984,393.5,102734.211072,3,fedavg,3:1,100.0,4,2670,40,8
24,0.9821143768512189,0.61217854204034,0.9510644238160587,0.6332128094818887,395.1,107014.80320000001,3,fedavg,3:1,100.0,4,2670,40,8
25,0.9833675096832991,0.6273461276487395,0.9557693918666975,0.6307614359073116,393.2,111295.39532800001,3,fedavg,3:1,100.0,4,2670,40,8
26,0.9826839826839827,0.6215219251371751,0.9606594304468199,0.6372059564222082,394.0,115575.987456,3,fedavg,3:1,100.0,4,2670,40,8
27,0.9831396673501936,0.5983915983561215,0.9593124233315489,0.6396751506701086,393.9,119856.579584,3,fedavg,3:1,100.0,4,2670,40,8
28,0.9818865345181135,0.5970803697915263,0.9579127143323622,0.6397562253407695,395.9,124137.17171200001,3,fedavg,3:1,100.0,4,2670,40,8
29,0.9814308498519024,0.6182051760663645,0.9519435782603604,0.6521423861267704,394.9,128417.76384,3,fedavg,3:1,100.0,4,2670,40,8
30,0.9823422191843244,0.6140658782813418,0.9525011847609975,0.6462500903930379,394.7,132698.35596800002,3,fedavg,3:1,100.0,4,2670,40,8
31,0.9827979038505354,0.6232532665303909,0.948868234117083,0.6486094463185886,394.6,136978.948096,3,fedavg,3:1,100.0,4,2670,40,8
32,0.9821143768512189,0.6159420612031494,0.9498409131432151,0.6559001234670909,394.0,141259.540224,3,fedavg,3:1,100.0,4,2670,40,8
33,0.9833675096832991,0.6473614938551515,0.9524274221927123,0.6731414212197376,394.8,145540.13235200002,3,fedavg,3:1,100.0,4,2670,40,8
34,0.9827979038505354,0.6173141875209154,0.9483396430344618,0.6502676415856514,394.1,149820.72448,3,fedavg,3:1,100.0,4,2670,40,8
35,0.9830257461836409,0.6319766714639202,0.9391360655674491,0.6501481101237448,395.0,154101.31660800002,3,fedavg,3:1,100.0,4,2670,40,8
36,0.981203007518797,0.5810093053917875,0.9445823154259761,0.6394784058194494,394.5,158381.908736,3,fedavg,3:1,100.0,4,2670,40,8
37,0.9817726133515607,0.6026412781132756,0.9550134657030714,0.6709463708426499,395.2,162662.500864,3,fedavg,3:1,100.0,4,2670,40,8
38,0.9826839826839827,0.6158415392870019,0.9517531083198919,0.6726737567240757,394.2,166943.09299200002,3,fedavg,3:1,100.0,4,2670,40,8
39,0.983481430849852,0.6415234610190819,0.9551080034314389,0.6595535679153208,394.0,171223.68512,3,fedavg,3:1,100.0,4,2670,40,8
